question,distractor3,distractor1,distractor2,correct_answer,support
What is the SI unit of acceleration?,Joules per kilogram,Metres per second,Newtons,Metres per second squared,"Acceleration is the rate of change of velocity with respect to time. Since velocity is measured in m/s and time in seconds, acceleration has units of m/s², also written as metres per second squared."
A car starts from rest and reaches 20 m/s in 4 seconds. What is its acceleration?,16 m/s²,80 m/s²,0.2 m/s²,5 m/s²,Acceleration = (final velocity - initial velocity) / time = (20 - 0) / 4 = 5 m/s². This is a straightforward application of the kinematic definition of acceleration.
Which quantity is a vector?,Mass,Speed,Distance,Velocity,"Velocity is a vector quantity because it has both magnitude and direction (e.g., 10 m/s north). Speed, distance, and mass are scalar quantities that have magnitude only."
An object in free fall near Earth's surface accelerates at approximately:,3.0 × 10⁸ m/s²,9.8 m/s,6.67 × 10⁻¹¹ m/s²,9.8 m/s²,"Near Earth's surface, gravity accelerates all objects at g ≈ 9.8 m/s² regardless of mass (ignoring air resistance). This was famously demonstrated by Galileo and later confirmed by Newton's law of gravitation."
A ball is thrown horizontally from a cliff. Which component of its motion is constant?,Vertical displacement,Vertical velocity,Total speed,Horizontal velocity,"In projectile motion (ignoring air resistance), there is no horizontal force, so horizontal velocity remains constant. Vertical velocity increases due to gravitational acceleration, making vertical motion uniformly accelerated."
What does the area under a velocity-time graph represent?,Speed,Acceleration,Force,Displacement,The area under a velocity-time graph gives displacement. This is derived from the integral of velocity with respect to time. The slope of a velocity-time graph gives acceleration.
A train travels 150 km in 2 hours. What is its average speed?,150 km/h,300 km/h,75 m/s,75 km/h,Average speed = total distance / total time = 150 km / 2 h = 75 km/h. Note the units remain km/h since both given quantities were in km and hours.
"Which kinematic equation relates displacement, initial velocity, acceleration, and time?",v² = u - 2as,v = u + at²,s = vt - at,s = ut + ½at²,"The equation s = ut + ½at² gives displacement s when initial velocity u, acceleration a, and time t are known. It is derived by integrating velocity (v = u + at) with respect to time."
What is the slope of a displacement-time graph?,Force,Acceleration,Speed,Velocity,"The slope (gradient) of a displacement-time graph equals the rate of change of displacement with time, which is velocity. A steeper slope indicates higher velocity; a negative slope indicates motion in the opposite direction."
A stone is dropped from rest and falls for 3 seconds. How far does it fall? (g = 10 m/s²),15 m,30 m,90 m,45 m,Using s = ut + ½gt² with u=0: s = 0 + ½ × 10 × 3² = 5 × 9 = 45 m. The factor of ½ comes from the continuously increasing velocity during the fall.
Which of the following is an example of uniform motion?,A pendulum swinging,A ball rolling down a hill,A planet orbiting the Sun,A car moving at constant 60 km/h on a straight road,"Uniform motion requires constant speed in a straight line (constant velocity). A car at constant speed on a straight road meets both conditions. A planet in orbit has changing direction, so its velocity is not constant even if speed is roughly constant."
"What is the final velocity of an object with initial velocity 5 m/s, acceleration 3 m/s², after 4 s?",7 m/s,12 m/s,60 m/s,17 m/s,Using v = u + at: v = 5 + 3 × 4 = 5 + 12 = 17 m/s. This kinematic equation applies to uniformly accelerated motion where acceleration remains constant throughout the time interval.
Relative velocity is defined as:,The difference in speeds of two objects,The average of two velocities,Velocity measured from a stationary point,Velocity of one object with respect to another,Relative velocity is the velocity of object A as observed from object B's reference frame. It is calculated as v_AB = v_A - v_B. It accounts for both magnitude and direction of each velocity vector.
A body moving with uniform velocity has:,Non-zero net force,Constant acceleration,Increasing momentum,Zero acceleration,"Uniform velocity means constant speed and direction, so there is no change in velocity over time. Since acceleration = Δv/Δt, zero change in velocity means zero acceleration, which also implies zero net force by Newton's second law."
The range of a projectile is maximum when launched at which angle?,90°,30°,60°,45°,"The horizontal range of a projectile is R = u²sin(2θ)/g. This is maximised when sin(2θ) = 1, i.e., 2θ = 90°, so θ = 45°. At this angle, the horizontal and vertical components of initial velocity are equal."
Newton's first law is also known as the law of:,Conservation of momentum,Acceleration,Action and reaction,Inertia,"Newton's first law states that an object remains at rest or in uniform motion unless acted upon by a net external force. This property of matter to resist changes in motion is called inertia, giving the law its alternate name."
What is the net force on a 5 kg object accelerating at 3 m/s²?,0.6 N,1.67 N,8 N,15 N,"Newton's second law: F = ma = 5 × 3 = 15 N. The newton (N) is defined as the force that accelerates a 1 kg mass at 1 m/s², so 1 N = 1 kg·m/s²."
Which of Newton's laws explains why a rocket moves forward when exhaust is expelled backward?,Law of gravitation,First law,Second law,Third law,"Newton's third law states that for every action there is an equal and opposite reaction. The rocket expels gas backward (action); the gas exerts an equal and opposite force on the rocket forward (reaction), propelling it."
The weight of an object is:,Its mass multiplied by velocity,The amount of matter it contains,Its resistance to acceleration,The gravitational force acting on it,"Weight W = mg, where m is mass and g is gravitational field strength. Weight is a force measured in newtons, while mass is measured in kilograms. Weight varies with location (e.g., on the Moon) while mass remains constant."
A 10 kg box is pushed with 50 N but friction is 20 N. What is the acceleration?,2 m/s²,5 m/s²,7 m/s²,3 m/s²,"Net force = Applied force - Friction = 50 - 20 = 30 N. Using F = ma: a = F/m = 30/10 = 3 m/s². Friction always opposes the direction of motion, reducing the net force available for acceleration."
Inertia is directly proportional to:,Volume,Velocity,Weight,Mass,Inertia is the tendency of an object to resist changes in its state of motion. It is directly proportional to mass — a more massive object requires a larger force to achieve the same acceleration (F = ma).
"When two equal and opposite forces act on an object, the object is in:",Simple harmonic motion,Free fall,Uniform acceleration,Equilibrium,"When the net force on an object is zero (equal and opposite forces cancel), the object is in equilibrium. By Newton's first law, it remains at rest or continues moving at constant velocity. This is called translational equilibrium."
A force of 30 N acts on a 6 kg object at rest. What is its velocity after 2 seconds?,15 m/s,5 m/s,60 m/s,10 m/s,First find acceleration: a = F/m = 30/6 = 5 m/s². Then use v = u + at = 0 + 5 × 2 = 10 m/s. This combines Newton's second law with the kinematic equation for uniformly accelerated motion.
The coefficient of kinetic friction is:,The acceleration due to friction,Ratio of normal force to applied force,The maximum static friction force,Ratio of kinetic friction force to normal force,"The coefficient of kinetic friction μk = fk/N, where fk is the kinetic friction force and N is the normal force. It is dimensionless and depends on the materials in contact, typically ranging from 0.1 to 0.8 for common surfaces."
What happens to the normal force when a person stands in an elevator accelerating upward?,It becomes zero,It decreases,It remains the same,It increases,"When an elevator accelerates upward, the net upward force must exceed weight. The floor exerts a normal force N upward and weight mg acts downward. By F = ma: N - mg = ma, so N = m(g + a) > mg. Hence normal force increases, making you feel heavier."
"Two skaters push off each other. If skater A has mass 60 kg and gains velocity 2 m/s, what is true of skater B (mass 40 kg)?",Skater B remains stationary,Skater B moves at 2 m/s in the same direction,Skater B moves at 1.5 m/s in the opposite direction,Skater B moves at 3 m/s in the opposite direction,"By Newton's third law and conservation of momentum: m_A × v_A = m_B × v_B. So 60 × 2 = 40 × v_B, giving v_B = 3 m/s. The skaters move in opposite directions because they push against each other."
Which of the following is a contact force?,Electric force,Gravity,Magnetic force,Friction,"Friction is a contact force that acts between surfaces that are in physical contact. Gravity, magnetic force, and electric force are non-contact (field) forces that can act over a distance without physical contact between objects."
A free body diagram shows:,Energy transformations in a system,The motion path of an object,Forces between two objects,All forces acting on a single object,"A free body diagram (FBD) isolates a single object and represents all external forces acting on it as arrows. It is a key tool in applying Newton's laws, allowing you to identify the net force and predict acceleration."
What is the gravitational force between two masses if the distance between them is doubled?,It remains the same,It becomes half,It doubles,It becomes one quarter,"Newton's law of gravitation: F = Gm₁m₂/r². If r doubles (r → 2r), then r² quadruples, so F becomes F/4. This inverse-square relationship means gravitational force decreases rapidly with distance."
A 2 kg object experiences a net force of 0 N. It is currently moving at 5 m/s. What will its velocity be after 10 seconds?,10 m/s,0 m/s,50 m/s,5 m/s,"Newton's first law: an object continues in its state of motion when no net force acts on it. With zero net force, there is zero acceleration, so velocity remains constant at 5 m/s. Mass is irrelevant when force is zero."
